title,description,datePublished,citation,keywords
aspfum5,NA,NA,2005/06/01,NA
aspfum6,NA,NA,2007/06/26,NA
aspfum7,NA,NA,2014/07/18,NA
aspgla1,NA,NA,2016/12/07,NA
asphan1,NA,NA,2016/07/29,NA
asphet2,NA,NA,"Vesth TC et al.,2018",NA
asphom1,NA,NA,"Vesth TC et al.,2018",NA
aspibe1,NA,NA,"Vesth TC et al.,2018",NA
aspind2,NA,NA,"Vesth TC et al.,2018",NA
aspjap1,NA,NA,"Vesth TC et al.,2018",NA
aspkaw1,NA,NA,"Futagami T et al.,2011",NA
asplep1,NA,NA,"Kjærbølling I et al.,2020",NA
aspluc2,NA,NA,"de Vries RP et al.,2017",NA
aspluc3,NA,NA,2011/10/27,NA
aspmin1,NA,NA,"Kjærbølling I et al.,2020",NA
aspmul3,NA,NA,2018/08/10,NA
aspnan1,NA,NA,2020/12/08,NA
aspneo7,NA,NA,"Vesth TC et al.,2018",NA
aspnid1,NA,NA,2009/09/24,NA
aspnig2,NA,NA,"Vesth TC et al.,2018",NA
aspnig3,NA,NA,"Vesth TC et al.,2018",NA
aspnig4,NA,NA,"Vesth TC et al.,2018~Aguilar-Pontes MV et al.,2018",NA
aspnig5,NA,NA,"Andersen MR et al.,2011",NA
aspnig6,NA,NA,"Pel HJ et al.,2007",NA
aspnig7,NA,NA,"Vesth TC et al.,2018",NA
aspnig8,NA,NA,2018/07/27,NA
aspnig9,NA,NA,2018/06/04,NA
aspnom1,NA,NA,"Kjærbølling I et al.,2020",NA
aspnom2,NA,NA,"Moore GG et al.,2015",NA
aspnom3,NA,NA,2015/08/04,NA
aspnov1,NA,NA,"Kjærbølling I et al.,2020",NA
aspnov2,NA,NA,"Kjærbølling I et al.,2018",NA
aspoch1,NA,NA,"Kjærbølling I et al.,2018",NA
aspoch2,NA,NA,"Moore GG et al.,2015",NA
aspory1,NA,NA,"Arnaud MB et al.,2012~Machida M et al.,2005",NA
aspory2,NA,NA,2012/06/18,NA
aspory3,NA,NA,2014/05/16,NA
asppar1,NA,NA,"Kjærbølling I et al.,2020",NA
asppar4,NA,NA,"Kjærbølling I et al.,2020",NA
asppar5,NA,NA,2015/03/18,NA
asppho1,NA,NA,2018/07/27,NA
asppip1,NA,NA,"Vesth TC et al.,2018",NA
asppse10,NA,NA,2019/10/18,NA
asppse11,NA,NA,"Deng S et al.,2020",NA
asppse6,NA,NA,"Kjærbølling I et al.,2020",NA
asppse7,NA,NA,"Kjærbølling I et al.,2020",NA
asppse8,NA,NA,"Kjærbølling I et al.,2020",NA
asppse9,NA,NA,2019/10/18,NA
aspram2,NA,NA,"Moore GG et al.,2015",NA
asprub1,NA,NA,2014/03/25,NA
aspsac1,NA,NA,"Vesth TC et al.,2018",NA
aspscl2,NA,NA,"Vesth TC et al.,2018",NA
aspscl3,NA,NA,"Vesth TC et al.,2018",NA
aspscl4,NA,NA,2018/09/21,NA
aspser1,NA,NA,"Kjærbølling I et al.,2020",NA
aspsp.1,NA,NA,2018/10/30,NA
aspste3,NA,NA,"Kjærbølling I et al.,2018",NA
aspsyd1,NA,NA,"de Vries RP et al.,2017",NA
asptai1,NA,NA,"Kjærbølling I et al.,2018",NA
asptam1,NA,NA,"Kjærbølling I et al.,2020",NA
aspter1,NA,NA,"Arnaud MB et al.,2012",NA
asptra2,NA,NA,"Kjærbølling I et al.,2020",NA
asptub1,NA,NA,2016/12/07,NA
aspuda1,NA,NA,"Kusuya Y et al.,2015",NA
aspust1,NA,NA,2014/12/31,NA
aspuva1,NA,NA,"Vesth TC et al.,2018",NA
aspvad1,NA,NA,"Vesth TC et al.,2018",NA
aspver1,NA,NA,2016/12/06,NA
aspvio1,NA,NA,"Vesth TC et al.,2018",NA
aspwel1,NA,NA,"Vesth TC et al.,2018",NA
